,Item name,Item Description,Item price,Item image url
27,Garden Salad,"Italian mixed greens, cherry tomato, cucumber, spring onion, classic Italian dressing",AED 31.00,https://images.deliveryhero.io/image/talabat/Menuitems/F5FB22BDCDE27AFF13D0309A3D9D4B53?width=172&amp;height=172
28,Create your own SALAD,Create your own super salad with a wide range of freshly prepared ingredients and sauces,AED 28.00,https://images.deliveryhero.io/image/talabat/Menuitems/4AA7FAB195AA2ECA99ABB1C1ABCE5F0A?width=172&amp;height=172
29,Create your own SALAD,Create your own super salad with a wide range of freshly prepared ingredients and sauces,AED 28.00,https://images.deliveryhero.io/image/talabat/Menuitems/4AA7FAB195AA2ECA99ABB1C1ABCE5F0A?width=172&amp;height=172
30,Margherita,"Tomato sauce, fior di latte mozzarella, fresh basil",AED 46.00,https://images.deliveryhero.io/image/talabat/Menuitems/18A39EC8A7DBD3822B2DA75038D7461E?width=172&amp;height=172
31,Funghi,"Tomato sauce, fior di latte mozzarella, fresh mushrooms, fresh basil",AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/32666257F0867C3B3FA54BDB0490FD7E?width=172&amp;height=172
32,Verdure,"Tomato sauce, fior di latte mozzarella, oven roast peppers, zucchini, aubergine, fresh mushrooms, sliced onions, kalamata olives",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/392304D27E62A00B2F2AC0FDCA0C2DA8?width=172&amp;height=172
33,Diavola,"Tomato sauce, fior di latte mozzarella, Italian salami (mildly spicy), oregano",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/A1F4884A9C179F0CFDC7929329BE9507?width=172&amp;height=172
34,Regina,"Tomato sauce, fior di latte mozzarella, smoked turkey, fresh mushrooms, olives, oregano",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/8B878459F0147FA6FF7D958CEB3E53E8?width=172&amp;height=172
35,Bresaola,"Tomato sauce, fior di latte mozzarella, sliced beef bresaola, fresh rocket, topped with grated parmesan",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/826423E05448A5DC8833A2B136F0BD71?width=172&amp;height=172
36,Quattro Formaggi,"Tomato sauce, fior di latte mozzarella, gorgonzola, emmental, grated parmesan",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/2D6ED8C5001FBF6969F1C809CD0353DD?width=172&amp;height=172
37,Quattro Stagioni,"Tomato sauce, fior di latte mozzarella, artichokes, fresh mushrooms, red peppers, smoked turkey, kalamata olives",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/711BD4D3CBDECCA64971E218BF213178?width=172&amp;height=172
38,Siciliana,"Tomato sauce, fior di latte mozzarella, capers, kalamata olives, Mediterranean anchovies, oregano",AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/9FFEBA32376989A148869504D39DD9DC?width=172&amp;height=172
39,Tonno,"Tomato sauce, fior di latte mozzarella, Mediterranean tuna, olives, sliced onion, capers",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/CF85B15B1142B0639A9921A1B9128382?width=172&amp;height=172
40,Buffalo Fried Chicken,"Tomato sauce, fior di latte mozzarella, buffalo fried chicken, spring onion, buffalo cream sauce",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/EC25591BFA7D34AE92D60E26845136B3?width=172&amp;height=172
41,Pollo Piccante,"Tomato sauce, fior di latte mozzarella, oven roast chicken, jalapeno, sliced onions, chili flakes (Spicy)",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/CAC4A86AF090C285D9641BE92929369D?width=172&amp;height=172
42,Carnivora,"Tomato sauce, fior di latte mozzarella, beef bacon, homemade meatballs, Italian salami, seasoned minced beef, spring onion, oregano",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/CA0E33164BA0AE5E41A0251FF36718FC?width=172&amp;height=172
43,Pollo Pesto,"Creamy pesto sauce, fior di latte mozzarella, mildly spicy marinated roast chicken, sun dried tomatoes and broccoli",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/90346F34C30A24242B7E0F3E9EC88382?width=172&amp;height=172
44,Italia,"Tomato sauce, fior di latte mozzarella, buffalo mozzarella, fresh rocket and parmesan (arranged like the Italian flag)",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/C20F75E9BA0C3D4FF9CA8D1C0F317122?width=172&amp;height=172
45,Chipotle Cheesesteak,"Chipotle mayonnaise, fior di latte mozzarella, premium grilled beef strips, sliced onion & peppers, cheddar cheese sauce",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/64B5948793D36E0FD8114986FB8B665D?width=172&amp;height=172
46,Burrata,"Tomato sauce, cherry tomatoes, fresh rocket, fresh creamy burrata, Rocco's homemade pesto (burrata added after cooking)",AED 72.00,https://images.deliveryhero.io/image/talabat/Menuitems/42AE31355DDEE22ED813AC8FC1A3C826?width=172&amp;height=172
47,Paneer Tikka,"Tomato sauce, homemade mango chutney, fior di latte mozzarella, sliced onions, tikka marinated paneer, fresh coriander



Served with a side of Chili mint chutney",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/8E74D31EEDE797502BA96A5A3BBF8B46?width=172&amp;height=172
48,Tartufo,"Truffled cream, fior di latte mozzarella, fresh mushroom, emmenthal, parsley",AED 63.00,https://images.deliveryhero.io/image/talabat/Menuitems/FC68F1567B4D8C6763C53AD697BFBD97?width=172&amp;height=172
49,Chicken Tikka New,"Tomato sauce, mango chutney, succulent homemade chicken tikka, sliced onion, coriander and chili mint chutney",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/27C4867E38CE48C4220986DDBA37D107?width=172&amp;height=172
50,Create your own PIZZA,"Choice of sauce, choice of flour",AED 38.00,https://images.deliveryhero.io/image/talabat/Menuitems/120E96CE1F134A231CEA8CAF49DE553F?width=172&amp;height=172
51,Create your own PASTA,Create your own pasta masterpiece! Start with a choice of pasta and sauce,AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/6DCEE9BF42B5FBD082DF620F48703D2C?width=172&amp;height=172
52,Vegan Margherita,"Tomato sauce, vegan mozzarella, fresh basil, EVOO",AED 51.00,https://images.deliveryhero.io/image/talabat/Menuitems/F2D66E3E519DC798BE437AB712DBD9AB?width=172&amp;height=172
53,Vegan Funghi,"Tomato sauce, vegan mozzarella, fresh mushroom, fresh basil, EVOO",AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/F6A55EEC7CB662B534495A243B7E11D3?width=172&amp;height=172
54,Vegan Verdure,"Tomato sauce, vegan mozzarella, oven roast Mediterranean vegetables, fresh mushrooms, Kalamata olives, sliced onion",AED 60.00,https://images.deliveryhero.io/image/talabat/Menuitems/9B54B43638F13BE8DAA0A0DFF8DE1CE7?width=172&amp;height=172
55,Ortolana,"Tomato sauce, baked aubergine, oven roast zucchini, olives, sliced onion, roast garlic, sun-dried tomato pesto, oregano",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/E12A16C4EB75E7A2C013E88D683D852D?width=172&amp;height=172
56,Zucca,"Roasted pumpkin, broccoli, sliced onions, sun dried tomato pesto, vegan pesto, chili flakes, fresh basil, walnuts and pumpkin sauce",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/5512A066CE03F6C2034B20BDBA85D217?width=172&amp;height=172
57,Beyond Baja,"Tomato sauce, Beyond Meat mince, vegan mozzarella, sundried tomato sliced onion, sweetcorn, guacamole, chili flakes",AED 68.00,https://images.deliveryhero.io/image/talabat/Menuitems/317893BEEF1FCC8FB4C899AD35E97BC0?width=172&amp;height=172
58,Spaghetti Bolognese,Classic spaghetti pasta with our homemade rich tomato and beef bolognese sauce,AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/0F7D9A650345DB48C7EF0C690D31BCF5?width=172&amp;height=172
59,Penne Alfredo,"Penne pasta with homemade creamy Alfredo sauce, made with oven roast chicken and fresh mushroom",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/ACD4463EAE387B8287F3752F1B2B530C?width=172&amp;height=172
60,Penne Arrabiata,"Penne pasta, with a freshly prepared, spicy tomato tomato sauce",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/95DF9C4517E92D5A7B0443FD4793BCAF?width=172&amp;height=172
61,Gnocchi Genovese,"Gnocchi pasta, with a creamy pesto sauce",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/4DB89332DFAA85CF3B552655DBD78E38?width=172&amp;height=172
62,Tagliatelle Calabrese,"Tagliatelle pasta with a creamy, tangy pink sauce with sundried tomato and grilled chicken (mildly spicy)",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/D9B54B2221C24D5246DBE4A406715E8E?width=172&amp;height=172
63,Gnocchi Truffle,"Gnocchi pasta, with a creamy truffle sauce",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/1722B6AD933895C42A0EF3250BD63B7C?width=172&amp;height=172
64,Lasagna Al Forno,"Home-made oven baked beef lasagna, with house made béchamel and topped with fior di latte mozzarella. Served with a fresh salad of mixed Italian greens",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/E0E29CA7C576328EACEB1E3BA33FBCE1?width=172&amp;height=172
65,Lasagna Vegetariana,"Home-made oven baked lasagna, with spinach, fresh ricotta, and oven roast Mediterranean vegetables. Served with a fresh salad of mixed Italian greens",AED 55.00,/assets/images/img-placeholder.svg
66,Garlic & Herb (30ml),Homemade creamy garlic and herb dip,AED 4.00,https://images.deliveryhero.io/image/talabat/Menuitems/798E766BBE5162D12FA8921955CC9CFC?width=172&amp;height=172
67,Chipotle Mayo (30ml),"Spicy, tangy and delicious with almost anything!",AED 4.00,https://images.deliveryhero.io/image/talabat/Menuitems/A5C11B7FA740171FB1A279A2A7EB6C56?width=172&amp;height=172
68,BBQ Honey Mustard (30ml),"A classic combination of smoky BBQ sauce, American mustard and honey",AED 4.00,https://images.deliveryhero.io/image/talabat/Menuitems/2F9043257D620E065FB2759A9CC946E8?width=172&amp;height=172
69,Sundried Tomato Marinara (30ml),"Homemade with Italian sundried tomatoes, pine nuts, and classic marinara sauce",AED 5.00,https://images.deliveryhero.io/image/talabat/Menuitems/FC27F335D9B6123D856BB40168DA5BFA?width=172&amp;height=172
70,Buffalo Ranch (30ml),Creamy Buffalo Ranch Dip,AED 4.00,https://images.deliveryhero.io/image/talabat/Menuitems/7122957BF925B548D9E01C5E441C4943?width=172&amp;height=172
71,Rocco's Basil Pesto (30ml),"Rocco's famous homemade pesto - made from scratch with fresh basil, parmesan, pine nuts and EVOO",AED 5.00,https://images.deliveryhero.io/image/talabat/Menuitems/0C7066F8387F79226E24B932DC8976C7?width=172&amp;height=172
72,Smoky BBQ (30ml),"Smoky & sweet, a delicious dipping sauce for all occasions!",AED 3.00,https://images.deliveryhero.io/image/talabat/Menuitems/E949C06D4F9CBB0D05EF4961113F3C67?width=172&amp;height=172
73,Sweet Chili (30ml),A sweet & (mildly) spicy classic!,AED 3.00,https://images.deliveryhero.io/image/talabat/Menuitems/28A7A86E33427E598EEBD6F77428DC0F?width=172&amp;height=172
74,Marie Rose (30ml),"A classic blend of tomato, mayonnaise, Worcestershire sauce, lemon juice and black pepper. Perfect for dipping!",AED 4.00,https://images.deliveryhero.io/image/talabat/Menuitems/381FBE498EF3C05DF3577013EF2DD974?width=172&amp;height=172
75,Roast Garlic EVOO (30ml),"Homemade with oven roast garlic, and premium EVOO",AED 5.00,https://images.deliveryhero.io/image/talabat/Menuitems/B2354CFEF259B0B7B7832345B3D6B987?width=172&amp;height=172
76,Rocco's Chili EVOO (30ml),Homemade chili infused EVOO,AED 5.00,https://images.deliveryhero.io/image/talabat/Menuitems/1C1A443378EA3A50401B4B6CF30848A0?width=172&amp;height=172
77,Truffle Infused EVOO,Italian truffle infused EVOO,AED 5.00,/assets/images/img-placeholder.svg
78,Tiramisu,Homemade Tiramisu - our Chef's special!,AED 25.00,https://images.deliveryhero.io/image/talabat/Menuitems/016BAF3CBC6177F8F8EDF5755A7988CF?width=172&amp;height=172
79,Homemade Chocolate Fudge Brownie,"A light textured fudgey, chocolaty, super soft and crumbly brownie Contains Nuts",AED 23.00,https://images.deliveryhero.io/image/talabat/Menuitems/2028E0FA787433B95915930D6BBEC618?width=172&amp;height=172
80,Toffee Hazelnut Sponge,Homemade toffee sponge with creme anglaise and toffee nut caramel sauce,AED 28.00,https://images.deliveryhero.io/image/talabat/Menuitems/6537BBAEFE36273653B0BC3C66F6A2CD?width=172&amp;height=172
81,Stuffed Choc Chip Cookie,"Soft, chewy, buttery, and stuffed with nutella - need we say more?!",AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/0C9A98A6B81B34C818A56A8ECDA42B85?width=172&amp;height=172
82,Pizza Lulu,"Rocco's classic oven baked dough, generously topped with Nutella and crushed nuts!",AED 29.00,https://images.deliveryhero.io/image/talabat/Menuitems/DAC737FDC36C1377F348B1C1FF7764B5?width=172&amp;height=172
83,Belgian Chocolate Mousse,"Thick, creamy and deliciously chocolatey. Made with authentic Belgian dark chocolate",AED 23.00,https://images.deliveryhero.io/image/talabat/Menuitems/966FA3631BB67C8CA556D3D578B73315?width=172&amp;height=172
84,Fresh Orange Juice,Freshly squeezed orange juice,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/03A10CF9B3F459F4DE40448A46C198A6?width=172&amp;height=172
85,Fresh Lemon & Mint,Freshly squeezed lemon with mint,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/F9F81BAFDF9AC69186641E9464749A5D?width=172&amp;height=172
86,Coca Cola,,AED 9.00,https://images.deliveryhero.io/image/talabat/Menuitems/9DE0FE5ECABE2C43216DDCC75BE8E698?width=172&amp;height=172
87,Coca Cola (Zero),,AED 9.00,https://images.deliveryhero.io/image/talabat/Menuitems/9379501EEB2E5F169DFEE97B958011AE?width=172&amp;height=172
88,Sprite,,AED 9.00,https://images.deliveryhero.io/image/talabat/Menuitems/78AAA8AF7E4C2A0C9215CDE21998B4ED?width=172&amp;height=172
89,Sprite Zero,,AED 9.00,https://images.deliveryhero.io/image/talabat/Menuitems/8AA64A296CE47131D20F1338E5B1668A?width=172&amp;height=172
90,Fanta Orange,,AED 9.00,https://images.deliveryhero.io/image/talabat/Menuitems/B39C696C47406AC18235FA933CE4DF9E?width=172&amp;height=172
91,Arwa (500ml),,AED 3.00,https://images.deliveryhero.io/image/talabat/Menuitems/CEBEEEAFC4A15AAD1F12E065F97036CF?width=172&amp;height=172
92,Acqua Panna Small (250ml),,AED 8.00,https://images.deliveryhero.io/image/talabat/Menuitems/EEA863210985A2868FFDAE51C9B153B2?width=172&amp;height=172
93,San Pellegrino Small (250ml),,AED 9.00,https://images.deliveryhero.io/image/talabat/Menuitems/197C99AF8783B10F4975A701D5CB78EF?width=172&amp;height=172
