,Item name,Item Description,Item price,Item image url
22,Truffle Pizza,"White sauce, mozzarella, mushrooms, truffle carpaccio & truffle oil.",AED 79.00,https://images.deliveryhero.io/image/talabat/Menuitems/7C0B2C5A36E6C773D63AC3D57D366893?width=172&amp;height=172
23,All Meat Pizza,"Pizza sauce, mozzarella cheese, turkey ham, spicy beef salami, beef bacon, mushrooms, caramelized onion, fennel seeds, chilli flakes.",AED 61.00,https://images.deliveryhero.io/image/talabat/Menuitems/43A65A8DC362A7535224FC95D2594725?width=172&amp;height=172
24,Burrata Mushroom Pizza,"Mushroom sauce, mozzarella cheese, parmesan cheese, burrata cheese, mushroom sautee, beef bacon sautee, sweet onion, rocket pesto, lemon zest, extra virgin olive oil.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/B03263DB13CBB7C2076879F65C022ABD?width=172&amp;height=172
25,Turkey & Artichokes Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano, smoked turkey ham, artichokes, mushrooms, black olives.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/603B19C4A25F7BEE2843A08BE37C8C55?width=172&amp;height=172
26,Mixed Seafood Pizza,"Pizza sauce, mozzarella fior di latte, basil, oregano, garlic, chili flakes, prawns, squids, mussels, olive oil.",AED 61.00,https://images.deliveryhero.io/image/talabat/Menuitems/4C2205C6DD84D79A29F619FEDA444C43?width=172&amp;height=172
27,Whole Wheat Spicy Chicken Pizza,"Whole wheat pizza dough, Pizza sauce, mozzarella fior di latte, basil, oregano, grilled chicken, bell peppers, chili flakes.",AED 57.00,https://images.deliveryhero.io/image/talabat/Menuitems/3B473517D8DBFE0FA8D3F0E9BB4BCFC8?width=172&amp;height=172
28,Buffalo Chicken Pizza,"Pizza sauce, mozzarella fior de latte, breaded chicken strips, red onion, with buffalo and ranch dressing.",AED 57.00,https://images.deliveryhero.io/image/talabat/Menuitems/8D6065A79AB361DD09FBDC5CB66B4163?width=172&amp;height=172
29,Chicken Jalapeño Pizza,"Fresh cream sauce, smoked mozzarella cheese, chicken, jalapeno pickles, caramelized onions and dynamite sauce.",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/DED1FE6ACC4EB641C2FA9BA5F4929951?width=172&amp;height=172
30,BBQ Chicken Pizza,"Barbecue sauce, mozzarella fior di latte, smoked mozzarella, barbecue chicken, paprika, baby marrows, eggplants, bell peppers and caramelized onion, black & white sesame seeds.",AED 57.00,https://images.deliveryhero.io/image/talabat/Menuitems/64C812CB2B00946355A3DF3169655594?width=172&amp;height=172
31,Steak Pizza,"Cream sauce, cheese sauce, mozzarella cheese, cheddar cheese, ribeye steak, button mushroom, green bell pepper, red onion, garlic Italian herbs.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/F07A0949503BEDF044211B8DAD704FEE?width=172&amp;height=172
32,Crispy Turkey Ham Pizza,"Pizza sauce, mozzarella fior de latte, dijon bechamel, crispy turkey ham, gruyere cheese, olive oil and dried oregano.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/7716B50C9D31C094B1A731C8746DE86F?width=172&amp;height=172
33,Funghi Supreme Pizza,"Pizza sauce, mozzarella fior de latte, mushroom bechamel, buttered mushroom, hint of black pepper with olive oil and dried oregano.",AED 59.00,https://images.deliveryhero.io/image/talabat/Menuitems/BC7B454A5BAD213D883531870DAB10F3?width=172&amp;height=172
34,Ranch Chicken Pizza,"Cream sauce, ranch sauce, mozzarella cheese, grilled chicken strips, jalapeño pickles, fresh tomato, garlic.",AED 58.00AED 43.50,https://images.deliveryhero.io/image/talabat/Menuitems/5E90C09B26DBB9CFA33F921EE854B878?width=172&amp;height=172
35,Shawarma Pizza,"Mozzarella fior de latte, fresh tomato, cucumber pickles, red onions, shawarma chicken and garlic mayo.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/62E22BC5C32C4AAE433DE868C7A4F1DC?width=172&amp;height=172
36,Short Ribs Pizza,"Short ribs sauce, mozzarella fior de latte, angus short ribs, sharp cheddar cheese and red onion confit.",AED 64.00,https://images.deliveryhero.io/image/talabat/Menuitems/609E9358D8C5BC10C7A87BF2F6D96B4C?width=172&amp;height=172
37,Mac & Cheese Balls,Deep fried mac & cheese balls served with Pizzaro special sauce.,AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/64AE42988FAA188887C43174824203ED?width=172&amp;height=172
38,Fried Prawns with Spicy Sauce,Deep-fried battered shrimps served with home made dynamite sauce.,AED 42.00,https://images.deliveryhero.io/image/talabat/Menuitems/D00B52592338B72582779874D147EAAD?width=172&amp;height=172
39,Deep Fried Calamari,Deep-fried squids flavored with black peppercorn served with avocado dip and lime.,AED 42.00,https://images.deliveryhero.io/image/talabat/Menuitems/A57E3038CC1003476ECBB99FB4CDE55E?width=172&amp;height=172
40,Deep Fried Potato & Cheese Balls,"Breaded mashed potato balls stuffed with mozzarella, served with Pizzaro signature honey mustard sauce.",AED 25.00,https://images.deliveryhero.io/image/talabat/Menuitems/5AD807375B93BE72AF4DEB2FBDC971D1?width=172&amp;height=172
41,Shrimps Skewers,2 Skewers of marinated grilled shrimps with Pizzaro's special lemon & mint dressing.,AED 39.00,https://images.deliveryhero.io/image/talabat/Menuitems/EE0F1954E4E974C4638D86DB849B8F16?width=172&amp;height=172
42,Deep Fried Mozzarella Sticks,Deep-fried mozzarella sticks served with marinara sauce aside.,AED 31.00AED 23.25,https://images.deliveryhero.io/image/talabat/Menuitems/87896642ABD8D9E16D9B5A83AB17C460?width=172&amp;height=172
43,BBQ Style Chicken Wings,Deep-fried BBQ chicken wings served with BBQ sauce aside.,AED 30.00,https://images.deliveryhero.io/image/talabat/Menuitems/65F4205D1186AE8465CFF76E12073DF0?width=172&amp;height=172
44,Baked Garlic Bread,"Freshly baked French baguette with butter, garlic, mozzarella & parmesan.",AED 21.00,https://images.deliveryhero.io/image/talabat/Menuitems/D6D4434AC2EE72EB82DD41D3FABD8892?width=172&amp;height=172
45,Skin-On Fries,Skin-on potato fries with oregano flavor.,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/EC1C66FAEACF4220192A958142ABD0D0?width=172&amp;height=172
46,Potato Wedges with Garlic and Rosemary,Wedges of baby potatoes sauteed with rosemary and garlic.,AED 25.00,https://images.deliveryhero.io/image/talabat/Menuitems/291E6D03A3347653B516C1574F875913?width=172&amp;height=172
47,Cajun Fries,Potato fries with cajun spices.,AED 21.00,https://images.deliveryhero.io/image/talabat/Menuitems/475B4B6DBB6506FB88FE2A13295ED042?width=172&amp;height=172
48,Deep Fried Chicken Balls,Deep fried breaded chicken balls served with cocktail sauce.,AED 26.00,https://images.deliveryhero.io/image/talabat/Menuitems/696A5DAF35685D32DABFCA621C3D9F0F?width=172&amp;height=172
49,Buffalo Chicken Wings,Mild spicy buffalo chicken wings served with ranch sauce.,AED 30.00AED 22.50,https://images.deliveryhero.io/image/talabat/Menuitems/8FCE2510BC4C4520B7BD228DF3058B8E?width=172&amp;height=172
50,Buffalo Chicken Balls,Deep fried breaded chicken balls with spicy buffalo sauce.,AED 27.00,https://images.deliveryhero.io/image/talabat/Menuitems/CBBBC904F94BBC38467EB185BAACD4BC?width=172&amp;height=172
51,Pink Chicken Pasta,"Penne tossed with fresh cream & tomato sauce with marinated chicken strips, chilli flakes, fresh mushroom, parmesan cheese and thyme.",AED 54.00AED 40.50,https://images.deliveryhero.io/image/talabat/Menuitems/D565E4D220F76570360CBCB1724891BB?width=172&amp;height=172
52,Traditional Home-Style Lasagna Pasta,"Baked layers of fresh pasta with bolognese sauce, minced beef, béchamel sauce, parmigiano cheese and tomato sauce.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/425115B9EEACD9B7FFD73AD4A3B87021?width=172&amp;height=172
53,Seafood Linguine Pasta,"Linguine sautéed with prawns, squid, mussels, clams in a light tomato sauce with garlic, chili flakes and parsley.",AED 60.00,https://images.deliveryhero.io/image/talabat/Menuitems/5975679C1B70A1C81B24FF6859B76CA1?width=172&amp;height=172
54,Penne with Mushroom and Chicken Pasta,"Penne tossed in a rich cream sauce with chicken strips, button mushrooms and parmigiano cheese.",AED 54.00AED 40.50,https://images.deliveryhero.io/image/talabat/Menuitems/9B242B82F5900713AB9C1FE44E92A15E?width=172&amp;height=172
55,Ravioli Filled with Mushroom & Ricotta Pasta,"Fresh ravioli, stuffed with ricotta and mushrooms, with a light cream sauce, baby spinach leaves and Parmigiano cheese.",AED 60.00,https://images.deliveryhero.io/image/talabat/Menuitems/38D8011AD04C93683DBEC23998D5C2FD?width=172&amp;height=172
56,Spaghetti Pasta with Turkey Ham and Carbonara Sauce,"Spaghetti pasta, carbonara sauce, turkey ham, black pepper & parmesan cheese.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/C9109D8FCF09484F2390605ED75DD11C?width=172&amp;height=172
57,Penne with Spicy Arrabiata Sauce,Penne pasta with spicy tomato arrabiata sauce.,AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/920CA05C7109AA435C315422BD5DCC7F?width=172&amp;height=172
58,Spaghetti Bolognese,Spaghetti pasta with minced beef in red sauce and parmesan cheese on top.,AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/8363FB75E96F41947E4E97EDB9B3F634?width=172&amp;height=172
59,Cajun Shrimp Pasta,"Spaghetti pasta, fresh cream, sauteed shrimp with cajun, garlic & parsley.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/76084C0A75100F092FBB5AC5FC7E1968?width=172&amp;height=172
60,Pizzaro Signature Chicken Salad,"Iceberg lettuce, grilled chicken, Parmigiano, crumbled veal bacon, bread croutons & our version of Caesar dressing,",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/2596AAA565D68A808C2AD29527B9CF4A?width=172&amp;height=172
61,Rucola and Mozzarella Salad,"Wild rocket, cow-mozzarella, semi-dried tomatoes,  basil, oregano and goat cheese dressing.",AED 43.00,https://images.deliveryhero.io/image/talabat/Menuitems/C76FFFFC20495541087ED52CD54C9BC7?width=172&amp;height=172
62,Seasonal Mixed Salad with Parmesan,"Freshly mixed garden salad with cherry tomatoes, Parmigiano cheese, oregano , served with olive oil and balsamico dressing.",AED 36.00,https://images.deliveryhero.io/image/talabat/Menuitems/612BB7D219DF533FE24B736ADAF36E57?width=172&amp;height=172
63,Mediterranean Feta Salad,"Freshly mixed garden salad, tomatoes, cucumber, red onion, Taggiasca olives, green peppers, feta cheese, oregano, olive oil and lemon dressing.",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/B3D6054CF2D303172F5A2531269575F5?width=172&amp;height=172
