,Item name,Item Description,Item price,Item image url
21,Fresh Salmon,"signature rice, fresh salmon, spring onion, mango, carrot, avocado, pickled red cabbage, edamame, crab mix, chopped almond, sesame seeds - jalapeño & ginger",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/EA555ADAD424DD85F79CFB972F074D0E?width=172&amp;height=172
22,Fresh Tuna,"sushi rice, fresh tuna, gherkins, pickled jalapeño, crab mix, cucumber, avocado, seaweed salad, pickled ginger, seaweed flakes, tenkatsu, sesame seeds - Ensō ponzu",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/5E3298B182845D342D3DF8758082D28D?width=172&amp;height=172
23,Sautéed Tofu,"sushi rice, sautéed tofu, cucumber, pomegranate, beetroot, red onion, avocado, carrot, fermented red cabbage, lotus chips, coconut flakes - garlic ponzu sauce",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/28AE584F984FAF21B294919F3DF5EEAA?width=172&amp;height=172
24,Spicy Prawns Poke,"signature rice, prawn, spring onion, mango, red onion, carrot, pickled ginger, charcoaled sweet corn, baked sweet potato, sesame seeds, tenkatsu - sriracha aioli",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/696C603590B30ADD34F284823390038D?width=172&amp;height=172
25,Make Your Own Burrito Full,,AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/Make_Your_Own_Burrito_Ful637898508900989162.jpg?width=172&amp;height=172
26,Make Your Own Burrito Half,,AED 33.00,https://images.deliveryhero.io/image/talabat/Menuitems/Make_Your_Own_Burrito_Hal637898508900989201.jpg?width=172&amp;height=172
27,Make Your Own Poke Bowl Full Portion,,AED 42.00,https://images.deliveryhero.io/image/talabat/Menuitems/Make_Your_Own_Poke_Bowl_F637898508900989234.jpg?width=172&amp;height=172
28,Make Your Own Poke Bowl Half Portion,,AED 40.00,https://images.deliveryhero.io/image/talabat/Menuitems/Make_Your_Own_Poke_Bowl_H637898508900989277.jpg?width=172&amp;height=172
29,BLUEBERRY LEMON CHEESECAKE,Our blueberry lemon cheesecake is baked on our original double baked almonds infused biscuit crust and lathered with clouds of our soufflé like cheesecake mixture into which we fold in fresh blueberries and tangy lemon zest.,AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/2BE246B29C6EF7B502343228AB194291?width=172&amp;height=172
30,LEGENDARY BROWNIE,"The original legendary brownie, made with a combination of 3 types of dark chocolate and more chocolate chips for that oushe legendary fudgy brownie taste.",AED 15.00,https://images.deliveryhero.io/image/talabat/Menuitems/6923EB3FB88AD2598872658BE64F99D1?width=172&amp;height=172
31,NEW YORK CHEESECAKE,"Baked twice for twice the goodness. First, the biscuit crust is baked with almonds, then we add our unique filling of mascarpone, cream cheese and lemon zest. Perfect with a dusting of icing sugar.",AED 17.00,https://images.deliveryhero.io/image/talabat/Menuitems/9C0BEC66212ABEBD914A1A17FE151686?width=172&amp;height=172
32,RASPBERRY CHEESECAKE,"Triple baked dark chocolate cantucci base, we then layer dollops of fluffy and airy cream cheese mixture into which we fold orange zest and raspberries.",AED 19.00,https://images.deliveryhero.io/image/talabat/Menuitems/D4EAFFC03C8F2F0F7D73966856518C55?width=172&amp;height=172
33,RED VELVET LEGENDARY  BROWNIE,"The red velvet edition of the original legendary brownie, made with a combination of 3 types of dark chocolate and cream cheese swirls for that oushe legendary fudgy brownie taste.",AED 17.00,https://images.deliveryhero.io/image/talabat/Menuitems/F85B1BEF48671C2A2584E410A043C1B0?width=172&amp;height=172
34,FRESH ORANGE JUICE,,AED 21.00,https://images.deliveryhero.io/image/talabat/Menuitems/FBC5FF130F5797798FD870F75F14F6CF?width=172&amp;height=172
35,Fresh Apple Juice,Mix red and green.,AED 21.00,https://images.deliveryhero.io/image/talabat/Menuitems/F52FBA82499DBBC01BDF7A8A91ECBAE6?width=172&amp;height=172
36,HEALTHY HEART,"beetroot, red apple, ginger, orange",AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/904024A79336F9DDD986F64AFFC41465?width=172&amp;height=172
37,IMMUNITY BOOST,"green apple, spinach, parsley, ginger & lemon juice",AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/A839803DAE73D9008DBA6579379A9111?width=172&amp;height=172
38,KOMBUCHA,fermented sweetened tea,AED 26.00,https://images.deliveryhero.io/image/talabat/Menuitems/2E4BEFB7C9AC879524E9921A9E4B6F81?width=172&amp;height=172
39,Orange Ginger And Carrot Juice,"orange, carrot, ginger",AED 24.00,https://images.deliveryhero.io/image/talabat/Menuitems/1BC5EC4C81E9D27FE0DA22D59BB1A591?width=172&amp;height=172
40,Acqua Panna,,AED 10.50,https://images.deliveryhero.io/image/talabat/Menuitems/Acqua_Panna637898508900989001.jpg?width=172&amp;height=172
41,Masafi water Small,,AED 7.00,https://images.deliveryhero.io/image/talabat/Menuitems/Masafi_water_Small637898508900989316.jpg?width=172&amp;height=172
42,San Pellegrino,,AED 16.00,https://images.deliveryhero.io/image/talabat/Menuitems/San_Pellegrino637898508900989392.jpg?width=172&amp;height=172
43,Spe Aranciata,,AED 16.00,https://images.deliveryhero.io/image/talabat/Menuitems/San_Aranciata637898508900989368.jpg?width=172&amp;height=172
44,Spe Lemonade,,AED 16.00,https://images.deliveryhero.io/image/talabat/Menuitems/Spe_Lemonade637898508900989417.jpg?width=172&amp;height=172
