,Item name,Item Description,Item price,Item image url
104,Fiorentina Pizza,"Smoked turkey ham, baby spinach, fried egg, garlic, 
parmesan, mozzarella, tomato sauce & herbs",AED 57.00,https://images.deliveryhero.io/image/talabat/Menuitems/CE11E4107A6F7F199541C389D07C07F9?width=172&amp;height=172
105,Tropicana Pizza,"Pineapple, chicken, chili, mozzarella, tomato sauce & herbs",AED 57.00,https://images.deliveryhero.io/image/talabat/Menuitems/F483A5696867A91C12CC3BF72694BFE5?width=172&amp;height=172
106,Esotica Pizza,"Prawns, pumpkin puree, baby rocca, sauteed caramelized onions, garlic, 
sundried tomato cream, balsamic glaze & mozzarella",AED 66.00,https://images.deliveryhero.io/image/talabat/Menuitems/9B9287744067C98E82B421762305743A?width=172&amp;height=172
107,Rustica Pizza,"Beef bresaola, wild rockets, parmesan cheese, 
mozzarella, tomato sauce & herbs",AED 62.00,https://images.deliveryhero.io/image/talabat/Menuitems/20E999B866B43D9A3F6B35918753BC3F?width=172&amp;height=172
108,Matador Pizza,"Spicy sausages, pepperoni, capsicum, onions, tabasco, mozzarella, tomato sauce and herbs.",AED 58.00,https://images.deliveryhero.io/image/talabat/Menuitems/29CDF703ECEF9767A60C5B2A3CC38680?width=172&amp;height=172
109,Truffle & Burrata (L),,AED 65.00,https://images.deliveryhero.io/image/talabat/Menuitems/17CC73208C797A83C294BB61DCA0EAD1?width=172&amp;height=172
110,Breaded Chicken Fingers,,AED 18.00,/assets/images/img-placeholder.svg
111,Kiddos Spaghetti and Meat Balls,,AED 23.00,/assets/images/img-placeholder.svg
112,Kiddos Pepperoni,,AED 23.00,/assets/images/img-placeholder.svg
113,Kiddos Potato Wedges,,AED 16.00,/assets/images/img-placeholder.svg
114,Penne Cheese Bake,,AED 21.00,/assets/images/img-placeholder.svg
115,Kiddos Cheese Pizza,,AED 23.00,/assets/images/img-placeholder.svg
116,Kiddos Ham & Cheese Pizza,,AED 23.00,/assets/images/img-placeholder.svg
117,Kiddos Spaghetti with Tomato Sauce,,AED 17.00,/assets/images/img-placeholder.svg
