,Item name,Item Description,Item price,Item image url
62,Nonnas Special,Braised beef cooked in a mustard cream sauce and tossed with fettuccine,AED 57.00,https://images.deliveryhero.io/image/talabat/Menuitems/C6EFBBD15B48030D231491403A146F95?width=172&amp;height=172
63,Ravioli Funghi راڤيويل  فونغي,Mushroom ravioli tossed in a light cream sauce to complement its earthy flavor.,AED 54.00,https://images.deliveryhero.io/image/talabat/Menuitems/859B22E1786CA898BEB38E0B3F80C9DF?width=172&amp;height=172
64,Ravioli Fiorentina راڤيويل فيورنتينا,Fresh spinach and ricotta ravioli served with a tomato cream sauce.,AED 53.00,https://images.deliveryhero.io/image/talabat/Menuitems/0C535B7886DD4A51B3978337D7107CF8?width=172&amp;height=172
65,Gnocchi Alfredo con Pollo,"Potato dumplings in a creamy mushroom sauce with sautéed chicken & 
cherry tomatoes",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/1D4F80221EB78177C491D656C5D290B1?width=172&amp;height=172
66,Gnocchi Milanese,"Potato dumplings in a light tomato cream sauce 
with chicken and mushrooms",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/0A834DA802034588435EABD81320664C?width=172&amp;height=172
67,Gnocchi Polpettine,"Potato dumplings in mild spicy tomato sauce with 
meat balls",AED 47.00,https://images.deliveryhero.io/image/talabat/Menuitems/E318855B20E6991C6844EB999AFCAE69?width=172&amp;height=172
68,Risotto Funghi ريزوتو كون فونغي,"Arborio rice cooked in simmering vegetable stock with sautéed mushrooms, creamed with parmesan and mascarpone.",AED 49.00,https://images.deliveryhero.io/image/talabat/Menuitems/285FCE964ABFA9965B19A564B2169FF1?width=172&amp;height=172
69,Risotto Di Mare ريزوتو دي ماري,"Arborio rice simmered in a flavorful seafood stock with prawns, calamari, crushed cherry tomatoes and garlic.",AED 56.00,https://images.deliveryhero.io/image/talabat/Menuitems/19DCA182EE6B04C5F07AE16D598CD4D4?width=172&amp;height=172
70,Risotto Pollo,"Arborio rice simmered in chicken stock, finished with grilled 
chicken, mushrooms, green peas & sundried tomatoes",AED 55.00,https://images.deliveryhero.io/image/talabat/Menuitems/F9D718DA01BAA9CF938CE5DE7718E6F7?width=172&amp;height=172
71,Risotto alla Zucca,"Arborio rice simmered in a flavorful vegetable stock, feta cheese & finished with a creamy pumpkin puree",AED 53.00,/assets/images/img-placeholder.svg
72,Margherita Pizza,"Mozzarella, tomato sauce and herbs.",AED 40.00,https://images.deliveryhero.io/image/talabat/Menuitems/A543BD3BB2FDD2CCCD285E207610164F?width=172&amp;height=172
73,Funghi Pizza,"Mushroom, mozzarella, tomato sauce and herbs.",AED 44.00,https://images.deliveryhero.io/image/talabat/Menuitems/F2AE214B7C702259E95FFBD0938381E5?width=172&amp;height=172
74,Truffle Cream Pizza,"Mushroom, minced truffles, mozzarella, cream sauce and herbs.",AED 52.00,https://images.deliveryhero.io/image/talabat/Menuitems/4D5385FD934D606674311D3FFC2527CA?width=172&amp;height=172
75,Pepperoni Pizza,"Beef pepperoni, mozzarella, tomato sauce and herbs.",AED 44.00,https://images.deliveryhero.io/image/talabat/Menuitems/0D3A3B9612B7FECCFFD96783695865C6?width=172&amp;height=172
76,Verdure Pizza,"Broccoli, mushrooms, capsicum, onions, olives, garlic, cherry tomatoes, mozzarella, tomato sauce and herbs.",AED 45.00,https://images.deliveryhero.io/image/talabat/Menuitems/27417BB9EF1F4B33D968C64DC7372C13?width=172&amp;height=172
77,Matador Pizza,"Spicy sausages, pepperoni, capsicum, onions, tabasco, mozzarella, tomato sauce and herbs.",AED 48.00,https://images.deliveryhero.io/image/talabat/Menuitems/E4EAEC02CAEAB71B81036732DDB13059?width=172&amp;height=172
